Scenario,DateTime,Thermal Generation (MWh),Renewables Curtailment (MWh),Storage Charging (MWh),Storage Discharging (MWh),Storage SOC (MWh),Objective Value,Solve Time (s),Memory Allocated
Scenario_1,2020-07-01T00:00:00.0,2.7870945707137547e6,27417.89999999998,7114.287711129901,7114.287711129901,55705.22750962621,1.3246558104406956e8,95.06001257896423,2.40035712e8
Scenario_2,2020-07-01T00:00:00.0,2.7826602004725006e6,27417.89999999998,48540.05475394692,48540.05475394694,573836.612428911,1.2976518906785257e8,89.08310961723328,1.1328676e8
